Club,Attendance,W,Points,GA,# Pl,Age,Poss,Min,GF,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,# Pl,Age,Poss,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Total_Pass,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,03-Jan,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Leganes,7346,8,36,51,29,26.9,43.8,"3,420",30,19,3,5,127,4,0.79,0.5,1.29,0.71,1.21,37.3,33.5,23.8,0.98,0.63,1.61,0.88,1.51,29,26.9,43.8,30,19,3,5,127,4,0.79,0.5,1.29,0.71,1.21,37.3,33.5,23.8,0.98,0.63,1.61,0.88,1.51,30,421,141,33.5,11.08,3.71,0.06,0.19,18.8,27,3,5,37.3,33.5,0.08,-7.3,-6.5,10467,14585,71.8,211269,84034,4453,5225,85.2,3997,4991,80.1,1776,3721,47.7,19,23.8,-4.8,275,879,231,97,954,613,16.13,418,66,44,32,46,7,49,1.29,34,3,1,3,7,1,0,640,389,339,230,71,221,603,36.7,382,5723,1585,27.7,1855,2620,1248,543,79,1,464,249,889,1063,4,43.8,18956,1869,5893,9224,4875,703,17013,341,576,59.2,378,27,10795,62424,32527,13104,10467,79.9,454,382
Levante,12823,14,49,53,29,27.7,48.4,"3,420",45,28,5,5,79,5,1.18,0.74,1.92,1.05,1.79,41.9,38.1,29.7,1.1,0.78,1.89,1,1.79,29,27.7,48.4,45,28,5,5,79,5,1.18,0.74,1.92,1.05,1.79,41.9,38.1,29.7,1.1,0.78,1.89,1,1.79,45,416,128,30.8,10.95,3.37,0.1,0.31,18.5,20,5,5,41.9,38.1,0.09,3.1,1.9,12463,16087,77.5,247502,91418,5271,5951,88.6,4931,5823,84.7,2044,3684,55.5,28,29.7,-1.7,311,892,249,77,1141,674,17.74,492,56,42,29,39,16,77,2.03,53,3,6,6,8,1,0,548,319,301,190,57,185,543,34.1,358,4990,1312,26.3,1706,2244,1040,539,119,0,420,264,812,1005,7,48.4,20354,2651,7558,9477,4498,695,18487,394,670,58.8,429,24,12554,75333,41687,14968,12463,83.3,459,383
Mallorca,10433,9,33,65,32,26.8,44.6,"3,420",39,21,8,10,93,5,1.03,0.55,1.58,0.82,1.37,39.2,31.7,22.2,1.03,0.58,1.61,0.83,1.42,32,26.8,44.6,39,21,8,10,93,5,1.03,0.55,1.58,0.82,1.37,39.2,31.7,22.2,1.03,0.58,1.61,0.83,1.42,39,409,117,28.6,10.76,3.08,0.08,0.26,18.6,22,8,10,39.2,31.7,0.08,-0.2,-0.7,11932,15603,76.5,229905,87464,5139,5914,86.9,4684,5668,82.6,1794,3295,54.4,21,22.2,-1.2,294,822,224,80,936,661,17.39,459,68,44,26,58,5,65,1.71,40,1,7,5,11,0,1,607,389,324,225,58,215,592,36.3,377,5626,1526,27.1,2031,2512,1083,561,125,1,436,242,849,776,8,44.6,19860,2495,6876,9224,5074,737,17940,382,634,60.3,409,18,12287,82290,45768,14370,11932,83,509,481
Osasuna,11484,13,52,54,31,27.7,47.5,"3,420",46,26,8,8,110,6,1.21,0.68,1.89,1,1.68,44.5,38.4,29,1.17,0.76,1.93,1.01,1.77,31,27.7,47.5,46,26,8,8,110,6,1.21,0.68,1.89,1,1.68,44.5,38.4,29,1.17,0.76,1.93,1.01,1.77,46,453,142,31.3,11.92,3.74,0.08,0.27,18.1,22,8,8,44.5,38.4,0.09,1.5,-0.4,11102,15680,70.8,233616,91815,4331,5242,82.6,4464,5730,77.9,2107,4051,52,26,29,-3,324,941,277,102,1154,700,18.42,504,84,31,33,34,14,68,1.79,46,7,2,5,5,3,0,641,389,297,278,66,225,596,37.8,371,5491,1662,30.3,1525,2722,1244,611,105,2,506,255,896,1117,15,47.5,20185,2108,6184,9989,5057,749,18195,336,539,62.3,358,17,11043,62832,34259,14128,11102,78.6,506,414
Real Madrid,45662,26,87,25,26,27.6,59.1,"3,420",70,52,11,11,82,4,1.84,1.37,3.21,1.55,2.92,63.5,55.2,44.2,1.67,1.16,2.84,1.45,2.62,26,27.6,59.1,70,52,11,11,82,4,1.84,1.37,3.21,1.55,2.92,63.5,55.2,44.2,1.67,1.16,2.84,1.45,2.62,70,552,222,40.2,14.53,5.84,0.11,0.27,17.2,17,11,11,63.5,55.2,0.1,6.5,3.8,20329,23814,85.4,387821,114272,9088,9874,92,7796,8690,89.7,3071,4383,70.1,52,44.2,7.8,434,1449,437,104,1479,917,24.13,708,63,56,34,40,16,120,3.16,87,6,5,4,17,1,0,625,415,272,267,86,207,597,34.7,390,5071,1507,29.7,1468,2469,1134,562,88,3,474,284,909,603,14,59.1,27878,2455,7970,13775,7788,1184,26119,463,775,59.7,505,21,18870,106801,58656,22895,20329,88.8,463,353
Real Sociedad,20956,16,56,48,27,24.8,56.6,"3,420",53,38,4,5,79,2,1.39,1,2.39,1.29,2.29,45.2,41.5,32.6,1.19,0.86,2.05,1.09,1.95,27,24.8,56.6,53,38,4,5,79,2,1.39,1,2.39,1.29,2.29,45.2,41.5,32.6,1.19,0.86,2.05,1.09,1.95,53,418,139,33.3,11,3.66,0.12,0.35,17.1,12,4,5,45.2,41.5,0.1,7.8,7.5,16055,19938,80.5,314338,100328,6069,6985,86.9,7563,8650,87.4,2170,3584,60.5,38,32.6,5.4,320,1085,340,92,1327,686,18.05,512,58,36,26,39,14,90,2.37,62,5,5,7,4,6,1,584,362,259,260,65,221,598,37,377,5055,1496,29.6,1450,2411,1194,528,89,1,439,226,810,971,6,56.6,24174,2570,7810,12304,5603,863,22283,354,591,59.9,372,14,15869,92908,50842,18695,16055,85.9,452,419
Sevilla,25043,19,70,34,26,27.7,58.4,"3,420",53,35,7,7,97,1,1.39,0.92,2.32,1.21,2.13,47.1,42,32.5,1.24,0.85,2.09,1.1,1.96,26,27.7,58.4,53,35,7,7,97,1,1.39,0.92,2.32,1.21,2.13,47.1,42,32.5,1.24,0.85,2.09,1.1,1.96,53,475,163,34.3,12.5,4.29,0.1,0.28,16.3,17,7,7,47.1,42,0.09,5.9,4,17667,21508,82.1,358713,109972,6788,7605,89.3,7656,8760,87.4,2937,4403,66.7,35,32.5,2.5,352,1265,373,123,1397,742,19.53,537,71,49,34,40,10,87,2.29,57,7,8,5,8,1,1,614,398,293,259,62,265,670,39.6,405,5071,1540,30.4,1522,2421,1128,519,110,3,409,208,822,1003,9,58.4,25805,2395,7982,12761,6536,991,23891,434,672,64.6,468,15,17051,92580,50752,20175,17667,87.6,473,449
Valencia,29830,14,53,53,28,27,48.9,"3,420",44,34,5,8,80,8,1.16,0.89,2.05,1.03,1.92,40.3,34.3,29.1,1.06,0.77,1.83,0.9,1.67,28,27,48.9,44,34,5,8,80,8,1.16,0.89,2.05,1.03,1.92,40.3,34.3,29.1,1.06,0.77,1.83,0.9,1.67,44,326,112,34.4,8.58,2.95,0.12,0.35,17.2,18,5,8,40.3,34.3,0.11,3.7,4.7,14565,18059,80.7,296827,95694,5483,6173,88.8,6518,7423,87.8,2341,3926,59.6,34,29.1,4.9,254,1015,282,70,1151,550,14.47,397,53,31,14,43,11,79,2.08,55,5,9,1,8,0,1,507,339,264,189,54,182,575,31.7,393,5278,1356,25.7,1909,2304,1065,546,139,1,407,221,728,956,10,48.9,21957,2790,7974,10516,4831,708,20176,353,557,63.4,376,13,14243,84448,44476,16843,14565,86.5,444,341
Valladolid,13713,9,42,43,30,27.1,44.3,"3,420",31,19,3,6,84,0,0.82,0.5,1.32,0.74,1.24,35.5,30.9,22.4,0.93,0.59,1.52,0.81,1.4,30,27.1,44.3,31,19,3,6,84,0,0.82,0.5,1.32,0.74,1.24,35.5,30.9,22.4,0.93,0.59,1.52,0.81,1.4,31,370,120,32.4,9.74,3.16,0.08,0.23,19.9,30,3,6,35.5,30.9,0.09,-4.5,-2.9,11236,15246,73.7,230593,81657,4424,5173,85.5,4680,5634,83.1,1943,3822,50.8,19,22.4,-3.4,254,822,166,60,872,586,15.42,408,44,44,24,53,12,55,1.45,34,2,3,6,7,2,1,616,400,349,224,43,212,677,31.3,465,5770,1529,26.5,2084,2688,998,624,123,2,501,268,884,1014,13,44.3,19517,2302,6720,9785,4119,547,17551,330,585,56.4,352,18,11501,70975,36901,13743,11236,81.8,434,356
Villarreal,11252,18,60,49,25,27.6,53.2,"3,420",62,40,10,11,78,1,1.63,1.05,2.68,1.37,2.42,57,48.7,37,1.5,0.97,2.48,1.28,2.26,25,27.6,53.2,62,40,10,11,78,1,1.63,1.05,2.68,1.37,2.42,57,48.7,37,1.5,0.97,2.48,1.28,2.26,62,474,157,33.1,12.47,4.13,0.11,0.33,17.6,15,10,11,57,48.7,0.11,5,3.3,16361,19925,82.1,335324,104151,6123,6861,89.2,7166,8104,88.4,2848,4344,65.6,40,37,3,349,1162,300,89,1226,785,20.66,591,56,48,36,39,14,108,2.84,71,2,9,11,13,1,1,575,358,261,258,56,214,625,34.2,411,5610,1540,27.5,1816,2770,1024,591,128,1,463,213,788,992,8,53.2,24211,2721,8164,12023,5406,842,22390,420,675,62.2,447,17,15653,87372,47937,18931,16361,86.4,484,354
